Local matrix size       = 1.9353 GiBs
Total device memory use = 2.2493 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 30.7% | 000013824 |    0.0100994  |          | 5.356e+04|          |            |            |  9.869e-03 | 0.000e+00 |   1.731e-05  |  7.509e+04  |    9.011e+04   
 31.5% | 000014208 |    0.0099831  |          | 5.268e+04|          |            |            |  9.800e-03 | 0.000e+00 |   1.887e-05  |  7.412e+04  |    8.976e+04   
 32.4% | 000014592 |    0.0100618  |          | 5.535e+04|          |            |            |  9.837e-03 | 0.000e+00 |   1.874e-05  |  7.173e+04  |    8.937e+04   
 33.2% | 000014976 |    0.0095339  |          | 5.491e+04|          |            |            |  9.311e-03 | 0.000e+00 |   1.891e-05  |  7.382e+04  |    8.906e+04   
 34.1% | 000015360 |    0.0097462  | 3.950e+04| 5.300e+04|          |  6.860e-03 |  1.756e-04 |  2.108e-03 | 0.000e+00 |   2.062e-05  |  7.039e+04  |    8.869e+04   
 34.9% | 000015744 |    0.0099392  |          | 5.151e+04|          |            |            |  9.652e-03 | 0.000e+00 |   1.919e-05  |  6.726e+04  |    8.826e+04   
 35.8% | 000016128 |    0.0095256  |          | 5.525e+04|          |            |            |  9.332e-03 | 0.000e+00 |   1.931e-05  |  6.837e+04  |    8.789e+04   
 36.6% | 000016512 |    0.0097818  |          | 5.482e+04|          |            |            |  9.560e-03 | 0.000e+00 |   1.855e-05  |  6.483e+04  |    8.746e+04   
 37.5% | 000016896 |    0.0292294  |          | 5.433e+04|          |            |            |  2.899e-02 | 0.000e+00 |   2.089e-05  |  2.112e+04  |    8.393e+04   
 38.4% | 000017280 |    0.0091799  |          | 5.251e+04|          |            |            |  8.910e-03 | 0.000e+00 |   1.999e-05  |  6.544e+04  |    8.362e+04   
 39.2% | 000017664 |    0.0098904  |          | 5.296e+04|          |            |            |  9.648e-03 | 0.000e+00 |   1.952e-05  |  5.908e+04  |    8.319e+04   
 40.1% | 000018048 |    0.0091478  |          | 5.322e+04|          |            |            |  8.935e-03 | 0.000e+00 |   1.724e-05  |  6.211e+04  |    8.286e+04   
 40.9% | 000018432 |    0.0448803  | 3.590e+04| 2.717e+04|          |  2.701e-02 |  1.993e-04 |  1.707e-02 | 0.000e+00 |   2.765e-05  |  1.231e+04  |    7.777e+04   
 41.8% | 000018816 |    0.0105890  |          | 5.202e+04|          |            |            |  1.023e-02 | 0.000e+00 |   2.095e-05  |  5.067e+04  |    7.731e+04   
 42.6% | 000019200 |    0.0097402  |          | 5.312e+04|          |            |            |  9.550e-03 | 0.000e+00 |   2.111e-05  |  5.350e+04  |    7.695e+04   
 43.5% | 000019584 |    0.0094307  |          | 5.258e+04|          |            |            |  9.214e-03 | 0.000e+00 |   2.108e-05  |  5.364e+04  |    7.661e+04   
 44.3% | 000019968 |    0.0095038  |          | 5.208e+04|          |            |            |  9.298e-03 | 0.000e+00 |   1.967e-05  |  5.164e+04  |    7.625e+04   
 45.2% | 000020352 |    0.0094397  |          | 5.335e+04|          |            |            |  9.241e-03 | 0.000e+00 |   2.029e-05  |  5.043e+04  |    7.589e+04   
 46.0% | 000020736 |    0.0095737  |          | 5.512e+04|          |            |            |  9.324e-03 | 0.000e+00 |   3.532e-05  |  4.820e+04  |    7.550e+04   
 46.9% | 000021120 |    0.0088785  |          | 5.126e+04|          |            |            |  8.426e-03 | 0.000e+00 |   2.144e-05  |  5.036e+04  |    7.517e+04   
 47.7% | 000021504 |    0.0097922  | 2.899e+04| 5.337e+04|          |  7.005e-03 |  1.877e-04 |  1.682e-03 | 0.000e+00 |   2.056e-05  |  4.422e+04  |    7.474e+04   
 48.6% | 000021888 |    0.0253536  |          | 5.062e+04|          |            |            |  2.502e-02 | 0.000e+00 |   2.241e-05  |  1.653e+04  |    7.270e+04   
 49.4% | 000022272 |    0.0020629  |          | 4.374e+04|          |            |            |  1.683e-03 | 0.000e+00 |   1.971e-05  |  1.965e+05  |    7.305e+04   
 50.3% | 000022656 |    0.0067767  |          | 5.045e+04|          |            |            |  6.544e-03 | 0.000e+00 |   2.114e-05  |  5.784e+04  |    7.291e+04   
 51.1% | 000023040 |    0.0248436  |          | 2.234e+04|          |            |            |  2.461e-02 | 0.000e+00 |   2.175e-05  |  1.525e+04  |    7.102e+04   
 52.0% | 000023424 |    0.0088835  |          | 5.401e+04|          |            |            |  8.632e-03 | 0.000e+00 |   2.192e-05  |  4.118e+04  |    7.067e+04   
 52.8% | 000023808 |    0.0090531  |          | 5.359e+04|          |            |            |  8.824e-03 | 0.000e+00 |   2.118e-05  |  3.900e+04  |    7.030e+04   
 53.7% | 000024192 |    0.0087067  |          | 4.886e+04|          |            |            |  8.399e-03 | 0.000e+00 |   1.986e-05  |  3.911e+04  |    6.996e+04   
 54.5% | 000024576 |    0.0089174  | 4.605e+04| 5.337e+04|          |  6.800e-03 |  1.835e-04 |  1.454e-03 | 0.000e+00 |   2.113e-05  |  3.680e+04  |    6.958e+04   
 55.4% | 000024960 |    0.0090700  |          | 4.657e+04|          |            |            |  8.684e-03 | 0.000e+00 |   2.198e-05  |  3.485e+04  |    6.919e+04   
 56.2% | 000025344 |    0.0086520  |          | 5.041e+04|          |            |            |  8.424e-03 | 0.000e+00 |   2.026e-05  |  3.517e+04  |    6.883e+04   
 57.1% | 000025728 |    0.0088706  |          | 4.973e+04|          |            |            |  8.631e-03 | 0.000e+00 |   1.953e-05  |  3.299e+04  |    6.844e+04   
 58.0% | 000026112 |    0.0089960  |          | 4.872e+04|          |            |            |  8.758e-03 | 0.000e+00 |   1.934e-05  |  3.126e+04  |    6.804e+04   
 58.8% | 000026496 |    0.0084625  |          | 4.287e+04|          |            |            |  8.144e-03 | 0.000e+00 |   2.137e-05  |  3.191e+04  |    6.767e+04   
 59.7% | 000026880 |    0.0088004  |          | 5.365e+04|          |            |            |  8.558e-03 | 0.000e+00 |   2.104e-05  |  2.944e+04  |    6.727e+04   
 60.5% | 000027264 |    0.0083973  |          | 5.316e+04|          |            |            |  8.156e-03 | 0.000e+00 |   2.131e-05  |  2.958e+04  |    6.690e+04   
 61.4% | 000027648 |    0.0087000  | 4.108e+04| 5.404e+04|          |  6.792e-03 |  1.837e-04 |  1.251e-03 | 0.000e+00 |   2.097e-05  |  2.734e+04  |    6.650e+04   
 62.2% | 000028032 |    0.0087854  |          | 4.802e+04|          |            |            |  8.434e-03 | 0.000e+00 |   2.067e-05  |  2.591e+04  |    6.609e+04   
 63.1% | 000028416 |    0.0084592  |          | 5.159e+04|          |            |            |  8.251e-03 | 0.000e+00 |   2.165e-05  |  2.572e+04  |    6.571e+04   
 63.9% | 000028800 |    0.0422010  |          | 4.438e+04|          |            |            |  4.189e-02 | 0.000e+00 |   2.191e-05  |  4.923e+03  |    6.293e+04   
 64.8% | 000029184 |    0.0134158  |          | 4.778e+04|          |            |            |  1.309e-02 | 0.000e+00 |   3.612e-05  |  1.477e+04  |    6.224e+04   
 65.6% | 000029568 |    0.0062397  |          | 4.196e+04|          |            |            |  1.205e-03 | 0.000e+00 |   1.969e-05  |  3.026e+04  |    6.202e+04   
 66.5% | 000029952 |    0.0022725  |          | 4.824e+04|          |            |            |  2.054e-03 | 0.000e+00 |   1.921e-05  |  7.907e+04  |    6.206e+04   
 67.3% | 000030336 |    0.0080614  |          | 4.719e+04|          |            |            |  7.848e-03 | 0.000e+00 |   1.918e-05  |  2.119e+04  |    6.172e+04   
 68.2% | 000030720 |    0.0084987  | 3.011e+04| 4.814e+04|          |  6.795e-03 |  1.748e-04 |  1.034e-03 | 0.000e+00 |   1.979e-05  |  1.907e+04  |    6.134e+04   
 69.0% | 000031104 |    0.0084887  |          | 4.758e+04|          |            |            |  8.228e-03 | 0.000e+00 |   1.842e-05  |  1.810e+04  |    6.096e+04   
 69.9% | 000031488 |    0.0086538  |          | 3.207e+04|          |            |            |  8.320e-03 | 0.000e+00 |   1.712e-05  |  1.680e+04  |    6.057e+04   
 70.7% | 000031872 |    0.0152002  |          | 4.233e+04|          |            |            |  1.496e-02 | 0.000e+00 |   2.008e-05  |  9.040e+03  |    5.978e+04   
 71.6% | 000032256 |    0.0061606  |          | 4.140e+04|          |            |            |  5.930e-03 | 0.000e+00 |   1.666e-05  |  2.104e+04  |    5.955e+04   
